3.3,-7.22831822,-7.330814479,-7.430841751,-7.509793361,-7.588923002,-7.673420758,-7.745470255,-7.882711852,-8.037020788,-7.818941305,-7.982161885,-8.048550661,-8.561902632,-8.224702942,-8.637044397,-8.457212218,-8.606160785,-8.689868903,-8.784322324,-8.815732584,-8.73714463,-9.115900707,-9.250363198,-9.378463933,-9.369468565,-9.535451249,-9.728828533
3.301,-7.244400484,-7.347369053,-7.447937426,-7.527367518,-7.606953133,-7.691924081,-7.764418065,-7.902398318,-8.057415876,-7.840103328,-8.004398538,-8.071073077,-8.594748327,-8.24832344,-8.670897875,-8.482155742,-8.631968144,-8.716194906,-8.813215332,-8.844608236,-8.764844435,-9.14671265,-9.282135237,-9.410917467,-9.401896999,-9.568930177,-9.763589575
3.302,-7.260595296,-7.364026789,-7.465139258,-7.54505056,-7.625094308,-7.710541436,-7.783481608,-7.922205095,-8.077933844,-7.861396912,-8.026774432,-8.093737064,-8.627810916,-8.272090919,-8.704976526,-8.507253976,-8.657935881,-8.742684961,-8.842299499,-8.873669688,-8.792710138,-9.177725878,-9.314117392,-9.443583549,-9.434536962,-9.602628972,-9.798580585
3.303,-7.276902927,-7.380788215,-7.482447798,-7.562843061,-7.643347112,-7.729273432,-7.802661505,-7.942132839,-8.098575368,-7.882822833,-8.049290411,-8.116543518,-8.661091376,-8.296006299,-8.739281364,-8.532507906,-8.684065036,-8.769340143,-8.87157625,-8.902918273,-8.820742813,-9.208941917,-9.346311297,-9.476463815,-9.467390075,-9.636549356,-9.833803397
3.304,-7.293323652,-7.397653861,-7.499863598,-7.580745599,-7.661712138,-7.748120686,-7.821958382,-7.962182209,-8.119341129,-7.904381875,-8.071947327,-8.139493341,-8.694590691,-8.320070504,-8.773813411,-8.557918531,-8.710356658,-8.796161537,-8.901047024,-8.932355338,-8.848943546,-9.240362315,-9.378718611,-9.509559924,-9.500457979,-9.670693072,-9.869259867
3.305,-7.309857749,-7.414624265,-7.517387217,-7.598758756,-7.680189982,-7.767083818,-7.841372871,-7.982353871,-8.140231817,-7.926074825,-8.094746038,-8.162587446,-8.728309852,-8.344284468,-8.808573701,-8.583486856,-8.736811807,-8.823150239,-8.930713278,-8.961982246,-8.877313435,-9.271988635,-9.411341008,-9.542873552,-9.533742335,-9.705061886,-9.904951874
3.306,-7.326505504,-7.431699965,-7.535019218,-7.616883117,-7.698781243,-7.786163454,-7.860905608,-8.002648494,-8.161248123,-7.947902482,-8.117687411,-8.185826754,-8.762249859,-8.368649136,-8.843563271,-8.609213898,-8.763431553,-8.850307356,-8.960576482,-8.991800372,-8.905853591,-9.30382246,-9.444180184,-9.576406397,-9.567244825,-9.739657585,-9.940881323
3.307,-7.343267204,-7.448881508,-7.552760167,-7.635119275,-7.717486529,-7.805360224,-7.880557236,-8.023066757,-8.182390748,-7.969865649,-8.14077232,-8.209212193,-8.796411721,-8.39316546,-8.878783171,-8.635100684,-8.790216979,-8.877634008,-8.990638125,-9.021811111,-8.934565137,-9.33586539,-9.477237857,-9.610160179,-9.600967152,-9.774481978,-9.97705014
3.308,-7.360143145,-7.466169441,-7.570610636,-7.653467825,-7.736306449,-7.824674766,-7.900328401,-8.04360934,-8.203660399,-7.991965135,-8.164001649,-8.232744702,-8.830796454,-8.417834402,-8.91423446,-8.661148251,-8.817169177,-8.905131325,-9.020899712,-9.052015871,-8.963449208,-9.368119046,-9.510515764,-9.644136638,-9.634911037,-9.809536899,-10.01346028
3.309,-7.377133626,-7.483564318,-7.588571201,-7.671929367,-7.755241619,-7.84410772,-7.920219757,-8.064276932,-8.225057787,-8.014201758,-8.187376288,-8.256425227,-8.865405085,-8.442656931,-8.949918203,-8.687357645,-8.844289251,-8.932800448,-9.051362766,-9.082416077,-8.992506955,-9.400585069,-9.544015665,-9.678337535,-9.669078227,-9.844824202,-10.05011372
3.31,-7.394238951,-7.501066697,-7.606642443,-7.690504509,-7.77429266,-7.863659732,-7.940231962,-8.085070225,-8.246583632,-8.036576344,-8.210897137,-8.280254726,-8.900238648,-8.467634029,-8.985835479,-8.713729924,-8.871578314,-8.960642531,-9.082028825,-9.113013168,-9.021739538,-9.433265118,-9.577739342,-9.712764657,-9.703470488,-9.880345769,-10.08701247
3.311,-7.411459428,-7.518677139,-7.624824948,-7.709193859,-7.793460198,-7.883331456,-7.96036568,-8.105989921,-8.268238658,-8.059089725,-8.234565102,-8.304234164,-8.935298187,-8.492766685,-9.021987373,-8.740266157,-8.899037494,-8.988658739,-9.112899446,-9.143808604,-9.051148134,-9.466160873,-9.611688597,-9.747419808,-9.738089608,-9.916103503,-10.12415856
3.312,-7.428795374,-7.536396212,-7.643119306,-7.727998032,-7.812744864,-7.903123549,-7.980621581,-8.127036723,-8.290023598,-8.081742741,-8.258381099,-8.328364516,-8.970584756,-8.518055899,-9.058374982,-8.766967423,-8.926667929,-9.016850251,-9.143976204,-9.174803858,-9.080733932,-9.499274035,-9.645865256,-9.78230482,-9.772937399,-9.952099334,-10.16155405
